index,char,confidence,source
675,白,CONFIRMED,manual_ocr
676,爆,CONFIRMED,manual_ocr
677,箱,CONFIRMED,manual_ocr
678,八,CONFIRMED,manual_ocr
679,発,CONFIRMED,manual_ocr
680,抜,CONFIRMED,manual_ocr
681,半,CONFIRMED,manual_ocr
682,反,CONFIRMED,manual_ocr
683,番,CONFIRMED,manual_ocr
684,彼,CONFIRMED,manual_ocr
685,悲,CONFIRMED,manual_ocr
686,皮,CONFIRMED,manual_ocr
687,秘,CONFIRMED,manual_ocr
688,費,CONFIRMED,manual_ocr
689,避,CONFIRMED,manual_ocr
690,飛,CONFIRMED,manual_ocr
691,備,CONFIRMED,manual_ocr
692,尾,CONFIRMED,manual_ocr
693,美,CONFIRMED,manual_ocr
694,鼻,CONFIRMED,manual_ocr
695,匹,CONFIRMED,manual_ocr
696,必,CONFIRMED,manual_ocr
697,姫,CONFIRMED,manual_ocr
698,百,CONFIRMED,manual_ocr
699,標,CONFIRMED,manual_ocr
700,氷,CONFIRMED,manual_ocr
701,表,CONFIRMED,manual_ocr
702,病,CONFIRMED,manual_ocr
703,品,CONFIRMED,manual_ocr
704,不,CONFIRMED,manual_ocr
705,付,CONFIRMED,manual_ocr
706,敷,CONFIRMED,manual_ocr
707,負,CONFIRMED,manual_ocr
708,武,CONFIRMED,manual_ocr
709,舞,CONFIRMED,manual_ocr
710,部,CONFIRMED,manual_ocr
